epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,105.518,0.68523,0.47755,1.06314,0.94318,0.95071,0.94566,0.66667,0.93969,0.63042,1.21063,0.00144145,0.00144145,0.00144145
43,107.973,0.67888,0.50643,1.06611,0.90323,0.94324,0.93067,0.64479,0.95183,0.64585,1.25598,0.00143595,0.00143595,0.00143595
44,110.484,0.65479,0.49924,1.03923,0.77907,0.88931,0.90412,0.60236,1.03122,0.83568,1.27662,0.00143045,0.00143045,0.00143045
45,112.986,0.65033,0.46636,1.0359,0.91572,0.95948,0.9483,0.65222,0.96893,0.61351,1.29528,0.00142495,0.00142495,0.00142495
46,115.457,0.65897,0.477,1.06362,0.89468,0.95071,0.95644,0.66796,0.95044,0.6103,1.23688,0.00141945,0.00141945,0.00141945
47,117.929,0.62695,0.47944,1.04951,0.87541,0.94647,0.92145,0.66695,0.88685,0.60728,1.19531,0.00141395,0.00141395,0.00141395
48,120.386,0.64898,0.46889,1.05823,0.90525,0.95071,0.93982,0.65998,0.91714,0.60973,1.21989,0.00140845,0.00140845,0.00140845
49,122.855,0.63506,0.44183,1.04264,0.93555,0.92777,0.94276,0.64889,0.97459,0.60344,1.25658,0.00140295,0.00140295,0.00140295
50,125.338,0.66252,0.47176,1.05046,0.92883,0.9276,0.93484,0.66336,0.94364,0.59917,1.22286,0.00139745,0.00139745,0.00139745
51,127.808,0.67576,0.4692,1.06345,0.93591,0.92342,0.93282,0.64356,0.95961,0.68844,1.22215,0.00139195,0.00139195,0.00139195
52,130.279,0.6643,0.45258,1.04884,0.93765,0.92439,0.95543,0.662,1.02834,0.7889,1.25821,0.00138644,0.00138644,0.00138644
53,132.735,0.64246,0.45542,1.03784,0.93103,0.91733,0.93572,0.64896,0.96988,0.66115,1.24751,0.00138094,0.00138094,0.00138094
54,135.197,0.618,0.42654,1.03978,0.91392,0.93317,0.95626,0.6695,0.93978,0.62744,1.22144,0.00137544,0.00137544,0.00137544
55,137.669,0.61153,0.43706,1.02358,0.90832,0.93317,0.93728,0.6631,0.92399,0.68483,1.24023,0.00136994,0.00136994,0.00136994
56,140.133,0.63226,0.4473,1.02767,0.91354,0.92439,0.9464,0.65269,0.93051,0.62919,1.21382,0.00136444,0.00136444,0.00136444
57,142.578,0.64211,0.43774,1.03456,0.88593,0.95948,0.95997,0.65626,0.89775,0.55837,1.19497,0.00135894,0.00135894,0.00135894
58,145.046,0.6389,0.4347,1.02698,0.90689,0.95354,0.96565,0.67243,0.88894,0.56709,1.2042,0.00135344,0.00135344,0.00135344
59,147.51,0.62071,0.43672,1.03019,0.84356,0.94194,0.94885,0.64322,0.90326,0.67991,1.22751,0.00134794,0.00134794,0.00134794
60,150.024,0.6276,0.42198,1.0473,0.81363,0.94389,0.95579,0.6667,0.94449,0.63491,1.22168,0.00134244,0.00134244,0.00134244
61,152.479,0.62108,0.42161,1.03158,0.93456,0.94603,0.95433,0.67779,0.92451,0.5144,1.23046,0.00133693,0.00133693,0.00133693
62,154.915,0.6103,0.41482,1.02635,0.90313,0.95071,0.96543,0.66971,0.93529,0.57488,1.24276,0.00133143,0.00133143,0.00133143
63,157.39,0.63038,0.41375,1.04213,0.9073,0.92097,0.93566,0.65157,1.02494,0.62637,1.30443,0.00132593,0.00132593,0.00132593
64,159.878,0.62199,0.42012,1.04148,0.88288,0.94194,0.93163,0.63242,1.03623,0.67691,1.33918,0.00132043,0.00132043,0.00132043
65,162.348,0.61849,0.41742,1.04286,0.89571,0.94886,0.95535,0.65065,1.02455,0.65719,1.26465,0.00131493,0.00131493,0.00131493
66,164.805,0.63973,0.44753,1.04073,0.88998,0.93317,0.93103,0.63364,0.9921,0.62079,1.2551,0.00130943,0.00130943,0.00130943
67,167.287,0.61305,0.42508,1.03821,0.87778,0.89892,0.93991,0.6649,0.93079,0.60483,1.21301,0.00130393,0.00130393,0.00130393
68,169.756,0.59944,0.41088,1.02501,0.91032,0.93363,0.93801,0.66002,0.96469,0.58505,1.25449,0.00129843,0.00129843,0.00129843
69,172.231,0.61212,0.41761,1.03286,0.91797,0.95071,0.94634,0.6739,0.9129,0.54353,1.19473,0.00129293,0.00129293,0.00129293
70,174.679,0.63148,0.44368,1.0379,0.94126,0.94618,0.942,0.64689,0.96349,0.56737,1.24088,0.00128742,0.00128742,0.00128742
71,177.164,0.59682,0.4013,1.01948,0.92198,0.95365,0.94402,0.66971,0.90842,0.51935,1.19122,0.00128192,0.00128192,0.00128192
72,179.628,0.59318,0.38791,1.0216,0.75548,0.95071,0.93284,0.65454,0.94077,0.75435,1.20995,0.00127642,0.00127642,0.00127642
73,182.095,0.59441,0.39685,1.02065,0.91077,0.93317,0.93605,0.6724,0.92511,0.54256,1.19477,0.00127092,0.00127092,0.00127092
74,184.559,0.58809,0.41721,1.01851,0.91023,0.94815,0.94347,0.66706,0.92889,0.53956,1.21839,0.00126542,0.00126542,0.00126542
75,187.01,0.59645,0.42813,1.02347,0.93908,0.91807,0.94073,0.6704,0.93552,0.53273,1.20853,0.00125992,0.00125992,0.00125992
76,189.479,0.59314,0.43603,1.01893,0.91661,0.93852,0.93647,0.67034,0.93829,0.5635,1.21889,0.00125442,0.00125442,0.00125442
77,191.951,0.58065,0.40042,1.01169,0.91907,0.9432,0.93307,0.66091,0.95952,0.55138,1.22624,0.00124892,0.00124892,0.00124892
78,194.431,0.58594,0.40176,1.02269,0.93239,0.91562,0.93472,0.65928,0.94744,0.57044,1.23252,0.00124342,0.00124342,0.00124342
79,196.89,0.59553,0.3997,1.02109,0.9119,0.94194,0.91358,0.63731,0.97567,0.55345,1.26312,0.00123791,0.00123791,0.00123791
80,199.343,0.57348,0.40113,1.00073,0.9566,0.95948,0.9438,0.67496,0.9452,0.51,1.23188,0.00123241,0.00123241,0.00123241
81,201.822,0.57969,0.40379,1.0178,0.93637,0.95948,0.95072,0.67837,0.92265,0.51474,1.1917,0.00122691,0.00122691,0.00122691
82,204.339,0.5971,0.39589,1.01264,0.93386,0.93233,0.92486,0.63763,0.98619,0.55719,1.24402,0.00122141,0.00122141,0.00122141
83,206.802,0.61904,0.42066,1.04832,0.94875,0.94194,0.95073,0.66285,0.91839,0.51073,1.19682,0.00121591,0.00121591,0.00121591
84,209.284,0.59497,0.40466,1.01779,0.90318,0.92439,0.94736,0.66261,0.94661,0.56836,1.22261,0.00121041,0.00121041,0.00121041
85,211.745,0.60653,0.39006,1.03587,0.92013,0.95948,0.95286,0.67931,0.93539,0.5283,1.22262,0.00120491,0.00120491,0.00120491
86,214.228,0.58914,0.38517,1.00664,0.94226,0.92026,0.94089,0.66727,0.94561,0.55258,1.22099,0.00119941,0.00119941,0.00119941
87,216.728,0.57338,0.39754,1.02845,0.92695,0.95071,0.93188,0.66112,0.94205,0.51564,1.21589,0.00119391,0.00119391,0.00119391
88,219.196,0.59132,0.39224,1.01709,0.92952,0.94194,0.94008,0.65836,0.98713,0.5431,1.28627,0.0011884,0.0011884,0.0011884
89,221.941,0.58949,0.38141,1.02152,0.93129,0.94194,0.94837,0.67916,0.91451,0.51194,1.20264,0.0011829,0.0011829,0.0011829
90,224.417,0.57396,0.37324,1.00114,0.93679,0.95026,0.93981,0.6601,0.91783,0.52007,1.20064,0.0011774,0.0011774,0.0011774
91,226.909,0.57774,0.38455,1.01134,0.94614,0.95803,0.94317,0.67219,0.89743,0.51047,1.18095,0.0011719,0.0011719,0.0011719
92,229.36,0.56565,0.38683,1.00532,0.88842,0.95906,0.93451,0.66374,0.91982,0.57739,1.21153,0.0011664,0.0011664,0.0011664
93,231.832,0.57098,0.3769,1.0154,0.89151,0.95617,0.94072,0.64276,0.95852,0.58001,1.23862,0.0011609,0.0011609,0.0011609
94,234.303,0.57464,0.37745,1.02072,0.89944,0.95457,0.94031,0.67552,0.91075,0.55385,1.20413,0.0011554,0.0011554,0.0011554
95,236.763,0.58773,0.38793,1.02898,0.90896,0.95902,0.9429,0.67175,0.90122,0.54571,1.20658,0.0011499,0.0011499,0.0011499
96,239.235,0.56658,0.36746,0.99566,0.90182,0.95948,0.93994,0.66107,0.92909,0.53885,1.20416,0.0011444,0.0011444,0.0011444
